#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.54210359038e+29,0.0,16001.2031672,28511.1211749,121481.79612,2.65654008189e+19,-2.20030810764e+18,5.94009928205e+18
2.09351489379e+29,0.0,19381.0498681,28530.7545295,123134.051784,2.66222235206e+19,-2.3155926319e+18,5.67598770785e+18
1.75555572558e+30,0.0,20556.6384604,27914.1076143,125108.19421,2.67217901082e+19,-2.60096385798e+18,5.31013554171e+18
2.41434528495e+29,0.0,18826.2071581,27683.7356093,123562.312506,2.66577320625e+19,-2.55467906024e+18,5.60516307011e+18
4.75197776976e+29,0.0,21376.6462482,28154.1882444,125251.756342,2.66724960293e+19,-2.54714355844e+18,5.32854466843e+18
2.99971073214e+29,0.0,19941.9153201,28315.8708826,123921.102753,2.66473747324e+19,-2.42560732868e+18,5.5569048951e+18
2.20094255565e+29,0.0,18760.3699125,27826.5093883,124459.51572,2.66754882104e+19,-2.51149727076e+18,5.40660738676e+18
3.50050642071e+29,0.0,18086.7660556,28107.0679557,122669.980115,2.65771785201e+19,-2.39981299735e+18,5.78595114929e+18
9.88922122304e+29,0.0,21092.5572245,27987.3497596,125091.141027,2.66549827241e+19,-2.51013098103e+18,5.38518857749e+18
2.12105368093e+29,0.0,17819.0873361,28664.3473826,122334.274942,2.65856022663e+19,-2.35631601852e+18,5.83046634287e+18
1.50275297432e+30,0.0,17812.3811937,28656.5619565,122574.823661,2.65994464016e+19,-2.29502257338e+18,5.7082220808e+18
3.37368227929e+30,0.0,20590.0535478,27975.0571095,125273.692078,2.6820987519e+19,-2.58868717469e+18,5.18066852796e+18
3.66830568601e+29,0.0,18825.1990923,27606.0916933,123589.167243,2.6659898501e+19,-2.54320486112e+18,5.60292112215e+18
2.73238929007e+29,0.0,21308.640943,29313.1421679,124257.708883,2.64689720901e+19,-2.29029998001e+18,5.65894061397e+18
2.32736390583e+29,0.0,15917.4289315,28638.3667771,120057.979183,2.65822290319e+19,-2.26431312064e+18,6.16884626604e+18
