#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
2.25252414421e+30 0.0 57692.8278999 118581.845304 134068.547267 1.66819617909e+18 -1.02847763509e+19 -8.16497775198e+18
3.41454416063e+29 0.0 59834.9986086 109975.637353 116865.840289 7.85654756756e+17 -1.20504541527e+19 -1.03645893964e+19
3.68186581685e+29 0.0 65001.1893211 106377.574812 106008.440052 -3.41018636704e+17 -1.26504680398e+19 -1.1433663298e+19
2.25649460608e+29 0.0 60946.708038 105608.785503 118412.752671 3.73197517154e+17 -1.25236097606e+19 -1.0368005678e+19
4.01190323287e+29 0.0 61059.9909995 124111.606371 134769.65287 1.55864328318e+18 -9.32664971273e+18 -7.81353623761e+18
3.35946307314e+29 0.0 61751.3545163 107618.66652 114843.444172 3.53102410832e+17 -1.23192620441e+19 -1.06355492575e+19
1.1434063622e+30 0.0 61068.0099493 115138.314337 125080.78947 9.49963646588e+17 -1.09584895764e+19 -9.29690719842e+18
2.27177196786e+29 0.0 49331.0883438 137068.246026 156212.416437 3.14468586231e+18 -7.05655809445e+18 -4.38421862217e+18
2.75915543185e+29 0.0 58514.6727598 118738.723683 132962.716429 1.56153502367e+18 -1.02717874675e+19 -8.28422368534e+18
2.89222229409e+29 0.0 57044.2637536 111868.461958 127942.11987 1.37327503577e+18 -1.15098132611e+19 -9.13761091783e+18
1.14027563869e+30 0.0 61485.796389 105103.006112 115567.548096 2.65206728777e+17 -1.26409009774e+19 -1.06463744828e+19
1.99403379954e+29 0.0 58401.1754841 120034.156568 131930.862636 1.60220349529e+18 -1.01343898681e+19 -8.35819902401e+18
3.77325029912e+29 0.0 66732.2243841 103913.652989 107033.361855 -8.639607656e+17 -1.28138872828e+19 -1.1451327094e+19
2.3896440064e+29 0.0 61019.1285329 108216.3212 116583.390275 4.61774197559e+17 -1.22225406455e+19 -1.0462333541e+19
1.71387799868e+30 0.0 62812.8686732 106012.814012 114862.505986 2.54091525792e+17 -1.23939705272e+19 -1.06004092164e+19
1.9897419484e+29 0.0 62775.27134 107066.165949 110068.020694 1.18084050757e+17 -1.25240580161e+19 -1.10874790806e+19
2.92028016257e+29 0.0 62088.8281015 110119.298094 121900.558726 5.19492961862e+17 -1.1725975983e+19 -9.8121762238e+18
3.45155992469e+29 0.0 61089.8929106 108356.621972 113818.406436 5.84175464929e+17 -1.22398164564e+19 -1.06654651055e+19
2.21711393621e+29 0.0 65358.4710496 102678.177028 110350.500727 -5.93040175186e+17 -1.29085081017e+19 -1.12110221053e+19
1.10472145769e+30 0.0 59106.9920497 113726.207545 129693.201208 1.2415675358e+18 -1.10837130721e+19 -8.8421260171e+18
2.95730520134e+29 0.0 50976.6546628 134283.320184 154552.973898 2.98015926863e+18 -7.51583278353e+18 -4.71843797618e+18
7.74429168058e+29 0.0 59526.5947803 107057.264813 118025.884071 7.12919054242e+17 -1.24117043802e+19 -1.03553054661e+19
1.2566594172e+30 0.0 62713.6171093 106884.497879 110497.737375 1.17202796117e+17 -1.25430291855e+19 -1.1057715176e+19
7.5862811061e+29 0.0 38393.9837686 150819.521883 164439.400717 3.93888792945e+18 -4.80291471032e+18 -1.74963193682e+18
3.36125179476e+29 0.0 61848.3754117 105982.55024 117557.425245 3.05844158141e+17 -1.24456004178e+19 -1.04108173798e+19
3.38033802991e+29 0.0 51975.1005203 137788.437943 155287.084153 2.97949467921e+18 -6.88618582721e+18 -4.55027551115e+18
2.26284368842e+29 0.0 59620.4461729 129004.897262 141538.316335 1.97801351526e+18 -8.39987977628e+18 -6.8267455422e+18
2.89249197027e+29 0.0 52621.3444681 127582.138673 145401.865521 2.63517453386e+18 -8.75079258339e+18 -6.38273031929e+18
2.9545090103e+29 0.0 66241.8969875 105203.711981 107076.679233 -4.93514724996e+17 -1.26311307201e+19 -1.13264183428e+19
3.45821323023e+29 0.0 58551.7762234 113237.322109 124051.156398 1.1984325611e+18 -1.13917711434e+19 -9.5076136969e+18
3.11287526367e+29 0.0 61081.5292269 108421.990984 119365.471942 5.73352634397e+17 -1.20857417881e+19 -1.01680741327e+19
1.32034222542e+30 0.0 45073.9094602 142177.064526 159993.476619 3.54286332094e+18 -6.23123570746e+18 -3.45164122254e+18
2.3749562976e+29 0.0 60877.0614413 107829.638395 119238.562712 5.46704633963e+17 -1.21992491929e+19 -1.0214340729e+19
2.04737936743e+29 0.0 62527.3766574 104965.665276 111705.602394 -5.03023711903e+16 -1.27508667116e+19 -1.10452127188e+19
2.32812116629e+29 0.0 66769.4133617 104670.137909 103000.10001 -8.21371390862e+17 -1.28960920642e+19 -1.1735262436e+19
1.68489157947e+30 0.0 62486.6814822 116633.4733 130583.644218 9.51730889634e+17 -1.04685971207e+19 -8.58982555725e+18
2.34209876758e+29 0.0 64673.6832771 106568.790823 111360.743833 -3.69785313365e+16 -1.23518716813e+19 -1.08858584445e+19
2.80220427678e+29 0.0 62433.1870642 106874.248352 112477.656465 1.5697841042e+17 -1.24539359389e+19 -1.08875585182e+19
4.29564461522e+29 0.0 59639.8246072 112642.19312 127389.237039 1.05640923936e+18 -1.12911818918e+19 -9.14912008972e+18
4.29990615273e+30 0.0 53436.0239771 126841.502672 149542.982071 2.5377561125e+18 -8.73985871414e+18 -5.74998470438e+18
4.97529536875e+29 0.0 60507.5379814 105010.718025 118821.676022 4.56463105649e+17 -1.25966152906e+19 -1.03376032528e+19
2.31830041453e+29 0.0 59814.2380293 112273.538097 121810.302413 9.27169769497e+17 -1.15434769341e+19 -9.77680008141e+18
4.75140961302e+29 0.0 44310.9616498 143734.996202 162311.880595 3.56976550716e+18 -6.00845106985e+18 -2.73265758059e+18
2.820740872e+29 0.0 61026.8297317 107782.980895 116655.412553 5.10366831249e+17 -1.22865990358e+19 -1.0448206017e+19
1.99364079992e+29 0.0 64931.1746828 104092.988631 111512.226887 -3.03695654321e+17 -1.26529783013e+19 -1.10079556474e+19
2.18394676655e+29 0.0 49838.231548 130700.184334 152448.761573 2.99317696626e+18 -8.16444083434e+18 -5.16625908929e+18
2.81594367939e+29 0.0 60669.4195405 106559.692338 118230.226084 4.54071083835e+17 -1.24124353623e+19 -1.03630284366e+19
1.06464363306e+30 0.0 63186.0866285 107224.901309 110910.793708 6.68551661048e+16 -1.24518209264e+19 -1.10051444705e+19
2.26082071542e+29 0.0 61199.6721848 114796.067488 122749.885792 9.05296623057e+17 -1.11176916907e+19 -9.53924997125e+18
3.2059278054e+29 0.0 58668.3415285 108838.654112 127451.951415 9.71282971586e+17 -1.18790526725e+19 -9.28728770892e+18
2.85789772323e+29 0.0 62297.3145907 110402.711816 117305.255185 4.24247167298e+17 -1.1846546398e+19 -1.02824445461e+19
9.60920610449e+29 0.0 57890.7329962 118049.409822 137830.664958 1.65181403009e+18 -1.02354069811e+19 -7.69932188711e+18
6.47919190253e+29 0.0 51392.1789291 124961.219677 145654.458493 2.6964236114e+18 -9.18924914716e+18 -6.41976054992e+18
5.92079996371e+29 0.0 59051.1660433 106728.132672 119574.535845 8.27399928515e+17 -1.23804722447e+19 -1.01973040351e+19
2.99491950941e+29 0.0 59933.6343268 114623.161555 123268.543491 1.07636885999e+18 -1.11611038864e+19 -9.52077002335e+18
4.91033902216e+29 0.0 65090.2775447 106945.934563 111014.796734 -2.95073463523e+17 -1.23997515338e+19 -1.09790987535e+19
2.27439495339e+29 0.0 59852.9549595 116868.986555 129784.557659 1.29505289097e+18 -1.06114954925e+19 -8.69893431504e+18
2.97288419115e+29 0.0 57430.6500449 119288.453145 138331.333173 1.73773254379e+18 -1.00384814674e+19 -7.61466731662e+18
3.71000493211e+29 0.0 64456.8242099 105874.819521 108111.707855 -2.29404618944e+17 -1.2684615285e+19 -1.12704954103e+19
2.12637176215e+29 0.0 58528.0120585 112734.747828 128853.97904 1.24353132223e+18 -1.12970112839e+19 -8.97906298199e+18
1.42696302273e+31 0.0 57665.7279677 108659.874076 125771.187516 1.11505351425e+18 -1.2012305651e+19 -9.49356837716e+18
6.94028913799e+29 0.0 57380.9662177 126754.130639 146226.440049 2.1232504526e+18 -8.6826091443e+18 -6.27652506564e+18
2.14309568179e+29 0.0 67147.1250567 105272.240516 106842.869105 -6.1002288174e+17 -1.25563700518e+19 -1.13109917683e+19
6.51356259177e+29 0.0 64708.0147135 108544.701129 112955.619716 1.58901705143e+17 -1.2013615227e+19 -1.06112628921e+19
