#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.170643286847,-0.211979183063,-0.131293074963,-0.311015498436,140.647805341,-31.4078548897,-115.450149722
0.166583414205,-0.220882420994,-0.140815711315,-0.3013665233,139.82718455,-30.764981917,-119.680310325
0.135942193144,-0.23521167104,-0.13405008361,-0.294878380268,138.632372407,-31.860313763,-122.661644609
0.41232237135,-0.223305885526,-0.134570378281,-0.303620215747,139.623437476,-31.3769848589,-118.877791124
0.379430308247,-0.233905752435,-0.131770129403,-0.296796942642,138.834667419,-32.0569645033,-121.770308917
0.10601308489,-0.204409579027,-0.143079533027,-0.314387062829,141.036083343,-29.1758178208,-113.766916061
0.183880748754,-0.215721112346,-0.1336955606,-0.308789757925,140.386422607,-30.9620976638,-116.482953908
0.216275305485,-0.222844509172,-0.139833729663,-0.302982485304,139.392186246,-30.4677484469,-119.672845985
0.14381261195,-0.202453124749,-0.135623935838,-0.311679946871,141.136106664,-30.7670303568,-115.38167879
0.425082982882,-0.212022151677,-0.138096022291,-0.308555646858,140.384919137,-30.775929318,-117.002331832
0.13319824415,-0.221472523647,-0.13495681455,-0.303627855719,139.443231699,-30.8502383835,-119.044058394
0.520695836127,-0.234663367228,-0.137112662436,-0.296658229297,138.616637977,-30.9145390912,-122.021964144
0.76390656344,-0.213995672986,-0.136557296776,-0.307784766265,140.406545615,-30.7578341609,-116.633213874
0.266108312905,-0.216133318085,-0.130396397122,-0.307408005999,140.33024655,-31.5900312651,-117.165033951
0.152725870261,-0.198834203161,-0.135910875087,-0.315683092732,141.717715314,-30.7107612924,-113.304968021
0.102571779203,-0.211840908032,-0.137601090769,-0.310585474128,140.662651386,-30.3132518641,-115.621899392
0.306309466848,-0.218184175012,-0.131888784263,-0.299210547181,139.889274055,-32.142009922,-121.399198974
0.157378587433,-0.194302331826,-0.136122469034,-0.315747098707,141.772522197,-30.4796783365,-113.630196259
0.263709912182,-0.206898269467,-0.134684256638,-0.311969456697,140.80319907,-30.3028460988,-115.583585896
0.161465909492,-0.216512594415,-0.134142082705,-0.298680648638,139.807290635,-31.4483378735,-121.795078592
0.117882243861,-0.204075489111,-0.139722996042,-0.317466507405,141.092729842,-29.6287611244,-112.449536559
0.182575377944,-0.21005086954,-0.133920739494,-0.306996903571,140.806129436,-31.1025690288,-117.418004174
0.140709698088,-0.218306479427,-0.140079144905,-0.312764959747,140.199003245,-30.2372317632,-114.018232036
0.119440388807,-0.219614733626,-0.132372949027,-0.303847013521,139.644077003,-31.6015631037,-119.487662521
