#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.73238929007e+29,0.0,-136111.829663,75081.2854214,123545.424446,8.84029994998e+17,5.58356080125e+18,-8.4875651086e+18
2.32736390583e+29,0.0,-135058.453905,74794.0558231,123898.16506,5.2563909852e+17,5.63602116514e+18,-8.38288935812e+18
3.84421363788e+29,0.0,-134082.145538,75256.2574117,124456.293507,3.98881810314e+17,5.55524033008e+18,-8.60187939891e+18
1.3007687188e+31,0.0,-134609.885842,75853.9814453,123975.107105,6.40592106053e+17,5.5031030187e+18,-8.65538418186e+18
4.43729350824e+29,0.0,-134559.831321,74825.9536048,124266.722085,5.85551351372e+17,5.60462100103e+18,-8.57365520743e+18
2.04565845223e+29,0.0,-135005.853136,74983.5487251,123520.842172,6.65325135808e+17,5.57205175266e+18,-8.59969080215e+18
5.26791507277e+29,0.0,-135499.390714,75246.6939455,124060.481579,6.14666988899e+17,5.47285790377e+18,-8.57699196481e+18
4.30084305097e+29,0.0,-135648.882529,75314.9591506,123799.730934,7.38042546445e+17,5.5863416593e+18,-8.62626611409e+18
7.86732037312e+30,0.0,-135450.291347,74913.1600649,124083.396043,6.04704193237e+17,5.55742833269e+18,-8.41299422996e+18
3.31618018875e+29,0.0,-135240.176521,75429.4694146,123803.369942,6.87129468335e+17,5.50693097132e+18,-8.49473832991e+18
2.77465218753e+29,0.0,-135253.464213,75322.2676484,124039.217002,6.71121497225e+17,5.42402660473e+18,-8.52552975275e+18
2.54467861618e+29,0.0,-134532.28871,75448.5017719,123905.925406,5.72909922324e+17,5.50295085821e+18,-8.480829992e+18
3.18718534696e+29,0.0,-135163.404634,75149.4719112,123864.267531,5.48942066177e+17,5.55683512305e+18,-8.53386509556e+18
2.2796064909e+29,0.0,-134837.602929,75072.5901768,124388.356976,5.09012092573e+17,5.48623844278e+18,-8.55904094558e+18
7.48635433069e+29,0.0,-135620.484087,74791.376105,124313.744127,6.86034386764e+17,5.49135614993e+18,-8.40604174867e+18
2.7036166617e+29,0.0,-134854.545274,74988.7427391,124385.334447,6.0742867647e+17,5.52378128883e+18,-8.55202162458e+18
2.08843944358e+29,0.0,-135307.147114,74437.6287807,123631.143165,7.22116794788e+17,5.70827930547e+18,-8.46591379261e+18
2.70797041173e+29,0.0,-135650.006602,74793.632338,123653.111696,7.06169338298e+17,5.54393584708e+18,-8.51619416084e+18
4.04087593132e+29,0.0,-135618.952142,75225.3157911,123862.350783,6.9461185455e+17,5.54804779246e+18,-8.56755533323e+18
4.75078782428e+29,0.0,-134929.389227,74973.6323772,124240.560169,5.63842445001e+17,5.51594042731e+18,-8.55998576105e+18
5.99770514148e+29,0.0,-135831.813643,75403.7986602,124155.979788,7.11241891491e+17,5.46408669758e+18,-8.53511469815e+18
3.19774171808e+29,0.0,-135852.934115,75288.5922935,123651.432504,8.21693663767e+17,5.59848421528e+18,-8.58596410241e+18
2.60565662597e+29,0.0,-134822.051537,75689.8315155,123898.879483,6.70127500271e+17,5.55704588755e+18,-8.75883231915e+18
9.33699718189e+29,0.0,-135107.745029,75707.9887112,124540.541547,6.2519231417e+17,5.39829381188e+18,-8.5285874593e+18
2.01790593662e+29,0.0,-135429.629179,75430.0464093,123866.386809,7.0074423961e+17,5.5522615246e+18,-8.4548044857e+18
3.82279242699e+29,0.0,-135151.835713,75179.4591889,124006.20932,5.63941007815e+17,5.4556631951e+18,-8.46515602628e+18
2.02205772051e+29,0.0,-135854.601942,75144.7689123,123722.684098,7.01889433614e+17,5.52168450874e+18,-8.55370599914e+18
2.59795477943e+29,0.0,-134704.178965,75579.2687767,124457.663702,5.94183606762e+17,5.44292451909e+18,-8.47170085939e+18
3.90193816078e+29,0.0,-135416.465471,74309.4819396,124038.232778,6.42124389849e+17,5.56564407782e+18,-8.3510957972e+18
2.18228421803e+29,0.0,-135581.710539,75285.6341429,124180.746874,7.31705043024e+17,5.44001527602e+18,-8.38074690971e+18
3.43552474253e+29,0.0,-134303.033657,74788.749921,123926.69477,5.45162586434e+17,5.55977984317e+18,-8.55547491882e+18
2.97495975611e+29,0.0,-134825.781674,74775.6119471,124277.573913,5.3273665877e+17,5.55075918005e+18,-8.44014575911e+18
4.33056559553e+29,0.0,-135202.60781,75489.7662854,124344.474616,6.59155346913e+17,5.47640128013e+18,-8.44778519191e+18
2.3337362453e+29,0.0,-135567.797296,75993.5905174,124266.562646,6.92010878433e+17,5.28871462362e+18,-8.38156690323e+18
2.57852934403e+29,0.0,-135605.168856,75431.6058936,123630.342227,6.41766572324e+17,5.54664816312e+18,-8.59834746168e+18
2.20013265797e+29,0.0,-135160.74458,75203.4512732,124147.040724,6.02716104246e+17,5.45992569926e+18,-8.44206249169e+18
6.07888706387e+29,0.0,-135384.60574,75508.3556503,123910.541656,6.9022014983e+17,5.46831172947e+18,-8.45522881326e+18
2.08448309089e+29,0.0,-134899.028725,75600.3137795,124304.004739,5.60473130986e+17,5.50291857242e+18,-8.52752044443e+18
2.7751570265e+29,0.0,-135336.629898,75322.4873907,124010.983153,6.93580646471e+17,5.47415517873e+18,-8.5206031313e+18
2.62521205124e+29,0.0,-135241.733244,75645.3871742,123664.831955,6.55047214725e+17,5.50749058543e+18,-8.6023467857e+18
5.59496775708e+29,0.0,-135064.060592,75726.8964632,124160.619071,6.64496964764e+17,5.37429079259e+18,-8.64496956052e+18
2.25252414421e+30,0.0,-134990.750001,74666.399096,123973.749313,5.81237832029e+17,5.54285486783e+18,-8.40375290201e+18
3.41454416063e+29,0.0,-135764.689002,75079.7501045,123856.531184,7.59500206946e+17,5.49272420306e+18,-8.47699045097e+18
3.68186581685e+29,0.0,-134973.110488,76000.9092016,124312.834775,6.37799973452e+17,5.43298611464e+18,-8.55969440726e+18
2.25649460608e+29,0.0,-135442.727877,75180.5641346,123902.088842,7.82325389938e+17,5.56669583377e+18,-8.5610383603e+18
4.01190323287e+29,0.0,-134692.067691,74924.9596431,123861.112428,5.85466084897e+17,5.60554589667e+18,-8.59917836368e+18
3.35946307314e+29,0.0,-135301.963693,75168.1640836,124086.4004,6.89418858108e+17,5.46556259884e+18,-8.59562482738e+18
1.1434063622e+30,0.0,-134358.541545,75224.7900673,124281.062929,5.45866998235e+17,5.59155334469e+18,-8.67804369365e+18
2.27177196786e+29,0.0,-135093.67948,75610.4969104,124246.385622,6.81995480737e+17,5.44297219223e+18,-8.53201921972e+18
