#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
4.30455207441e+29 0.0 53659.745896 123038.322735 146782.728772 2.35742807472e+18 -9.40494333212e+18 -6.28904223403e+18
2.05929431444e+29 0.0 63609.4384697 102523.089936 114495.091462 -2.20929640676e+17 -1.28725762886e+19 -1.08112346274e+19
5.86913151917e+29 0.0 65074.2098148 102118.238068 111607.409601 -5.76059697827e+17 -1.29591197814e+19 -1.11129742822e+19
2.47218244397e+29 0.0 63271.4395973 106426.425293 109080.477717 -9.63186619207e+15 -1.26459219565e+19 -1.11715396639e+19
3.83303623847e+29 0.0 63862.2191827 104438.475213 111316.479513 -2.25116899622e+17 -1.27633301398e+19 -1.10673192202e+19
5.47484547807e+30 0.0 62823.8996791 108421.9471 109195.223871 1.93476853137e+17 -1.23866677768e+19 -1.10743304114e+19
4.25706407926e+29 0.0 62787.9618477 103973.817896 111317.678336 -9.23582956034e+16 -1.29367623173e+19 -1.10922028507e+19
3.49943978734e+29 0.0 54230.603656 130488.77689 150526.648989 2.55733794974e+18 -8.11719813897e+18 -5.51854385563e+18
3.80858241674e+29 0.0 60868.4783255 110176.559304 120193.372834 6.44559347717e+17 -1.18794435555e+19 -1.00010868174e+19
2.28939092645e+29 0.0 64999.5720542 102287.458809 111619.854093 -5.78046195099e+17 -1.29688110741e+19 -1.11103313539e+19
3.21999911191e+29 0.0 62508.6250593 107818.565313 111052.254761 3.24375106153e+17 -1.23927798338e+19 -1.09059562664e+19
2.40136313854e+29 0.0 61390.1641272 107681.591908 120710.317971 4.6735341927e+17 -1.21685300212e+19 -1.00267272732e+19
2.04626725708e+29 0.0 61816.2303935 110253.020389 115412.073864 4.75668316784e+17 -1.1982911983e+19 -1.04624849523e+19
4.24226111433e+29 0.0 63554.3225798 107846.623428 109181.699271 1.28531499776e+17 -1.23959109633e+19 -1.10642681661e+19
1.63478378976e+30 0.0 58574.8355377 114680.712817 132135.45047 1.27259732265e+18 -1.09202248396e+19 -8.52091914982e+18
3.31201211116e+29 0.0 57843.9993842 116051.178644 134058.284736 1.46143391362e+18 -1.06811687145e+19 -8.24794637885e+18
2.50776978111e+29 0.0 62631.4968053 108680.751784 116843.912447 4.89153858477e+17 -1.19435702577e+19 -1.02705520127e+19
2.09014725511e+29 0.0 64279.7106913 107464.767184 114614.427192 -6.39211224874e+16 -1.22503075138e+19 -1.06181298368e+19
8.3151495892e+29 0.0 61090.5556285 110951.97203 119431.353327 6.75913849785e+17 -1.17914452812e+19 -1.00306662389e+19
8.18426274595e+29 0.0 62873.3586196 105991.647009 113073.717126 1.74664637156e+17 -1.25356278273e+19 -1.08013083398e+19
3.03044992764e+29 0.0 67133.5170349 105404.181687 106448.10173 -6.27805330649e+17 -1.25756701757e+19 -1.13390976211e+19
6.7531383e+29 0.0 55395.5205023 121920.740558 144624.157518 2.10877167097e+18 -9.54340786115e+18 -6.66358168666e+18
4.31884665676e+29 0.0 63332.3649592 104021.068344 114783.918918 -1.46633665013e+17 -1.27183858002e+19 -1.07664766987e+19
7.14382921149e+29 0.0 62855.5851421 104273.358038 115164.863553 7.97304668478e+16 -1.26454292295e+19 -1.06644060322e+19
3.74518708903e+29 0.0 60972.6577278 108351.65782 127637.65604 6.10127584674e+17 -1.18419115291e+19 -9.25112249023e+18
5.2620274382e+29 0.0 61314.0358148 111454.216997 119909.674172 6.40677775501e+17 -1.16913238684e+19 -9.97466010186e+18
5.69231155109e+29 0.0 62306.0561867 105104.470395 119588.442569 1.22561313923e+17 -1.24819005449e+19 -1.02454113074e+19
2.86359287502e+29 0.0 64394.1128411 106198.251242 106995.901343 -2.40909128359e+17 -1.26826498075e+19 -1.13606586105e+19
5.86066093377e+29 0.0 62681.5954815 103986.352324 117377.199496 -2.05759009633e+16 -1.26781263104e+19 -1.05081580326e+19
3.35891945226e+30 0.0 62338.9408826 109693.819537 114036.232939 2.53600833833e+17 -1.20888775835e+19 -1.06302228799e+19
4.73721096301e+29 0.0 60079.4891739 107301.358386 121629.92993 6.15517444358e+17 -1.22552762856e+19 -9.97093880166e+18
3.07840769332e+29 0.0 64068.1076557 106764.642438 110636.8073 2.51743243035e+16 -1.24264817819e+19 -1.09600121286e+19
3.9071234884e+29 0.0 61313.5808352 109534.886758 123331.928079 5.66252321092e+17 -1.1798013592e+19 -9.70072302603e+18
2.54210359038e+29 0.0 66579.9238945 106424.382296 105711.487358 -4.86053904225e+17 -1.25380167759e+19 -1.13618688249e+19
2.09351489379e+29 0.0 32320.4657843 155615.623563 165092.541893 4.15210257589e+18 -3.88465636237e+18 -7.38381385039e+17
1.75555572558e+30 0.0 62086.8263009 104772.771956 114720.667125 7.55888570815e+16 -1.27534471606e+19 -1.07470320862e+19
2.41434528495e+29 0.0 54446.8707924 124263.478117 147663.091346 2.33910343793e+18 -9.16859656153e+18 -6.10408263693e+18
4.75197776976e+29 0.0 61091.2843348 106212.325144 117344.707783 3.75690696107e+17 -1.25191598859e+19 -1.04228599795e+19
2.99971073214e+29 0.0 59542.7258604 115160.841646 124245.86405 1.17989773204e+18 -1.10849338478e+19 -9.39867166533e+18
2.20094255565e+29 0.0 61079.7028893 113348.486184 122638.660015 1.13336179854e+18 -1.1089942728e+19 -9.44952148001e+18
3.50050642071e+29 0.0 61928.5864368 110888.923494 114072.414166 4.81387033811e+17 -1.19219973692e+19 -1.05811244072e+19
9.88922122304e+29 0.0 60347.6030613 107383.749215 115292.221712 6.08866752982e+17 -1.24184716974e+19 -1.05664799524e+19
2.12105368093e+29 0.0 60653.3292586 108723.266859 118067.758735 7.7954690097e+17 -1.20356107935e+19 -1.01784440977e+19
1.50275297432e+30 0.0 61777.4335858 106192.551757 122937.349644 2.79056212931e+17 -1.22509904322e+19 -9.85699561223e+18
3.37368227929e+30 0.0 32618.4610515 155633.423614 165080.734794 4.15749156038e+18 -3.86030077073e+18 -7.57274413157e+17
3.66830568601e+29 0.0 63520.1631022 106111.381438 107319.535893 -1.44222014048e+17 -1.27693785794e+19 -1.13536066761e+19
2.73238929007e+29 0.0 64565.1197632 104237.212099 110486.62277 -3.57867983835e+17 -1.27701110459e+19 -1.11219636441e+19
2.32736390583e+29 0.0 63522.6930164 106710.13412 107703.778932 -6.53164460313e+16 -1.26575518682e+19 -1.1283780422e+19
3.84421363788e+29 0.0 61788.888561 104920.100808 114137.327642 1.59244913908e+17 -1.27256475849e+19 -1.07935207201e+19
1.3007687188e+31 0.0 57047.1134637 121031.540709 143810.051873 1.91867272297e+18 -9.65599909625e+18 -6.77949154246e+18
4.43729350824e+29 0.0 64842.3846026 103380.769169 110446.475829 -4.71722905783e+17 -1.28842665346e+19 -1.11584022175e+19
2.04565845223e+29 0.0 60044.7851393 111760.45673 120864.211182 8.74399617684e+17 -1.16700417726e+19 -9.88734473541e+18
5.26791507277e+29 0.0 57984.0205366 116357.306076 138495.395503 1.52932394707e+18 -1.04721131127e+19 -7.67169199952e+18
4.30084305097e+29 0.0 62571.4366732 104590.141559 119770.065536 5.89768880368e+16 -1.25118015809e+19 -1.02448466864e+19
7.86732037312e+30 0.0 56880.7971549 119946.60523 137208.777819 1.83906336367e+18 -1.00394373793e+19 -7.70410664684e+18
3.31618018875e+29 0.0 65073.528472 105220.799934 108197.731732 -3.67640615539e+17 -1.26893101957e+19 -1.12786262866e+19
2.77465218753e+29 0.0 59965.4443051 105501.288793 118715.980565 5.46064362636e+17 -1.25734365251e+19 -1.0330544448e+19
2.54467861618e+29 0.0 66674.1411996 103041.946414 107121.286445 -7.49502381849e+17 -1.28710546743e+19 -1.14212656498e+19
3.18718534696e+29 0.0 59162.2289096 108719.621809 130366.968425 9.10650358978e+17 -1.17916408452e+19 -8.93629585334e+18
2.2796064909e+29 0.0 58874.2172179 110032.782481 129355.077217 9.77224875247e+17 -1.16739003797e+19 -9.01674160249e+18
7.48635433069e+29 0.0 62824.8751368 103620.593496 115572.069144 -4.73997964814e+16 -1.27863852636e+19 -1.07022973938e+19
2.7036166617e+29 0.0 62413.9571417 104353.251967 118340.890536 7.47305237455e+16 -1.26030615487e+19 -1.03969624387e+19
2.08843944358e+29 0.0 52889.2031976 135671.942982 156820.681688 2.8135028102e+18 -7.21295853255e+18 -4.28271335835e+18
2.70797041173e+29 0.0 58695.666822 110441.841813 117001.319979 1.11622454597e+18 -1.19403195394e+19 -1.02840410007e+19
4.04087593132e+29 0.0 62400.1386264 105233.58308 112197.072945 4.9780891721e+16 -1.28029766933e+19 -1.0969142866e+19
4.75078782428e+29 0.0 62062.0826164 107291.758818 111442.880236 2.63632206773e+17 -1.24817936173e+19 -1.09314036383e+19
5.99770514148e+29 0.0 67152.4532419 102771.247397 103762.94136 -9.98795684032e+17 -1.30719745051e+19 -1.17400040166e+19
3.19774171808e+29 0.0 62181.0879259 110216.311414 119380.059242 7.44562405497e+17 -1.16429568497e+19 -9.92106266161e+18
2.60565662597e+29 0.0 60089.2109712 106889.902304 117979.010324 5.76072359971e+17 -1.24383566361e+19 -1.03506700637e+19
9.33699718189e+29 0.0 64482.9543118 107752.017628 108100.709731 -3.82248821626e+16 -1.23961481844e+19 -1.11446875441e+19
2.01790593662e+29 0.0 62464.3520649 105377.040793 116018.486994 7.68438880118e+16 -1.25623432152e+19 -1.05950973079e+19
3.82279242699e+29 0.0 61954.5390902 111067.500133 118759.661586 5.73888977683e+17 -1.17318121692e+19 -1.00876847949e+19
2.02205772051e+29 0.0 64398.5051216 107711.696343 111757.769522 8.84291582048e+16 -1.22038083968e+19 -1.079622654e+19
2.59795477943e+29 0.0 60781.9900044 110244.744079 119218.247306 6.50776103792e+17 -1.19188161263e+19 -1.0096104909e+19
3.90193816078e+29 0.0 50695.8332065 135593.25705 155585.632069 3.00585148603e+18 -7.29224058675e+18 -4.52210728499e+18
2.18228421803e+29 0.0 61095.9425027 109333.460622 119107.210039 5.57743193084e+17 -1.20218367442e+19 -1.01463450856e+19
3.43552474253e+29 0.0 60243.2367699 111245.682947 124193.322789 7.88941042647e+17 -1.16161460964e+19 -9.55581600026e+18
2.97495975611e+29 0.0 50068.9366197 137528.119176 158167.432674 3.08128670291e+18 -6.98861863536e+18 -3.92173353749e+18
4.33056559553e+29 0.0 60453.6473025 108399.846935 128141.029734 6.80425742206e+17 -1.18184072564e+19 -9.2172182974e+18
2.3337362453e+29 0.0 60087.2615336 112852.303501 119457.632928 1.18590469622e+18 -1.13919016435e+19 -9.82524906887e+18
2.57852934403e+29 0.0 62915.9938081 105678.208291 110882.454991 2.62101837624e+16 -1.26973700028e+19 -1.10503839234e+19
2.20013265797e+29 0.0 55471.2435853 114460.831727 139071.66321 1.76191049443e+18 -1.08505739475e+19 -7.67053085033e+18
6.07888706387e+29 0.0 60847.8386959 111707.022745 124193.194704 8.13239556375e+17 -1.14987996942e+19 -9.51781493471e+18
2.08448309089e+29 0.0 63045.3397494 106897.942295 111321.789862 1.83064897702e+17 -1.24753408336e+19 -1.09190754276e+19
2.7751570265e+29 0.0 62674.7310441 106561.026205 111525.945244 1.34636442082e+17 -1.25613580298e+19 -1.09647681743e+19
2.62521205124e+29 0.0 64177.6725592 103296.065171 114980.550704 -3.64843308601e+17 -1.27496817228e+19 -1.07727279107e+19
